"","region","item_name","item_code","unit_name","Otherunit","unit_code","factor","source"
"1594","1","SALT","810","NO. 10 PLATE ","","6",0.194999993,"1"
"1595","2","SALT","810","NO. 10 PLATE ","","6",0.209999993,"1"
"1596","3","SALT","810","NO. 10 PLATE ","","6",0.186000004,"1"
"1597","1","SALT","810","No 10 PLATE FLAT","","6A",0.196148932,"1"
"1598","2","SALT","810","No 10 PLATE FLAT","","6A",0.109200001,"1"
"1599","3","SALT","810","No 10 PLATE FLAT","","6A",0.101878785,"1"
"1600","1","SALT","810","No 10 PLATE HEAPED","","6B",0.250852466,"1"
"1601","2","SALT","810","No 10 PLATE HEAPED","","6B",0.197280005,"1"
"1602","3","SALT","810","No 10 PLATE HEAPED","","6B",0.151815787,"1"
"1603","1","SALT","810","NO. 12 PLATE ","","7",0.327499986,"1"
"1604","2","SALT","810","NO. 12 PLATE ","","7",0.414999992,"1"
"1605","3","SALT","810","NO. 12 PLATE ","","7",0.411000013,"1"
"1606","1","SALT","810","PIECE","","9",0.96025002,"1"
"1607","2","SALT","810","PIECE","","9",0.943000019,"1"
"1608","3","SALT","810","PIECE","","9",0.232166663,"1"
"1609","1","SALT","810","NO. 12 PLATE ","","7A",0.327499986,"5"
"1610","2","SALT","810","NO. 12 PLATE ","","7A",0.414999992,"5"
"1611","3","SALT","810","NO. 12 PLATE ","","7A",0.411000013,"5"
"1612","1","SALT","810","NO. 12 PLATE ","","7B",0.327499986,"5"
"1613","2","SALT","810","NO. 12 PLATE ","","7B",0.414999992,"5"
"1614","3","SALT","810","NO. 12 PLATE ","","7B",0.411000013,"5"
"1615","1","Spices","811","TEASPOON","","20",0.012,"1"
"1616","2","Spices","811","TEASPOON","","20",0.041999999,"1"
"1617","3","Spices","811","TEASPOON","","20",0.017999999,"1"
"1618","3","SPICES","811","OTHER (SPECIFY)","PIECE","85",0.129999995,"1"
"1619","1","YEAST, BAKING POWDER, BICARBONATE OF SODA","812","TEASPOON","","20",0.012,"1"
"1620","2","YEAST, BAKING POWDER, BICARBONATE OF SODA","812","TEASPOON","","20",0.01,"1"
"1621","3","YEAST, BAKING POWDER, BICARBONATE OF SODA","812","TEASPOON","","20",0.01,"1"
"1622","2","YEAST, BAKING POWDER, BICARBONATE OF SODA","812","KILOGRAM","","1",1,"5"
"1623","3","YEAST, BAKING POWDER, BICARBONATE OF SODA","812","KILOGRAM","","1",1,"5"
"1624","1","HOT SAUCE (NALI, ETC)","814","OTHER (SPECIFY)","PIECE","85",0.129999995,"4"
"1625","2","HOT SAUCE (NALI, ETC)","814","OTHER (SPECIFY)","PIECE","85",0.129999995,"4"
"1626","3","HOT SAUCE (NALI, ETC)","814","OTHER (SPECIFY)","PIECE","85",0.129999995,"4"
"1627","1","SWEETS, CANDY, CHOCOLATE","816","KILOGRAM","","1",1,"5"
"1628","3","SWEETS, CANDY, CHOCOLATE","816","KILOGRAM","","1",1,"5"
"1629","3","HONEY","817","OTHER (SPECIFY)","PIECE","85",0.129999995,"1"
"1630","1","HONEY","817","PIECE","","9",0.129999995,"5"
"1631","3","HONEY","817","PIECE","","9",0.129999995,"5"
"1632","1","MAIZE  BOILED OR ROASTED VENDOR","820","PIECE","","9",0.313000023,"1"
"1633","2","MAIZE  BOILED OR ROASTED VENDOR","820","PIECE","","9",0.245000005,"1"
"1634","3","MAIZE  BOILED OR ROASTED VENDOR","820","PIECE","","9",0.300000012,"1"
"1635","1","CHIPS VENDOR","821","HEAP","","10",0.500478268,"1"
"1636","2","CHIPS VENDOR","821","HEAP","","10",0.203852937,"1"
"1637","3","CHIPS VENDOR","821","HEAP","","10",0.296305567,"1"
"1638","1","CHIPS VENDOR","821","NO. 10 PLATE ","","6",0.300000012,"1"
"1639","2","CHIPS VENDOR","821","NO. 10 PLATE ","","6",0.129999995,"1"
"1640","3","CHIPS VENDOR","821","NO. 10 PLATE ","","6",0.310000002,"1"
"1641","1","CHIPS VENDOR","821","NO. 12 PLATE ","","7",0.317999989,"1"
"1642","2","CHIPS VENDOR","821","NO. 12 PLATE ","","7",0.239999995,"1"
"1643","3","CHIPS VENDOR","821","NO. 12 PLATE ","","7",0.300000012,"1"
"1644","1","CHIPS VENDOR","821","PIECE","","9",0.019166667,"1"
"1645","2","CHIPS VENDOR","821","PIECE","","9",0.071500003,"1"
"1646","3","CHIPS VENDOR","821","PIECE","","9",0.27033332,"1"
"1647","2","CHIPS VENDOR","821","PIECE","","85",0.071500003,"5"
"1648","3","CHIPS VENDOR","821","PIECE","","85",0.27033332,"5"
"1649","1","CASSAVA  BOILED VENDOR","822","PIECE","","9",0.092999995,"1"
"1650","2","CASSAVA  BOILED VENDOR","822","PIECE","","9",0.1175,"1"
"1651","3","CASSAVA  BOILED VENDOR","822","PIECE","","9",0.210999995,"1"
"1652","1","Eggs - boiled (vendor)","823","PIECE","","9",0.059999999,"4"
"1653","2","Eggs - boiled (vendor)","823","PIECE","","9",0.059999999,"4"
"1654","3","Eggs - boiled (vendor)","823","PIECE","","9",0.059999999,"4"
"1655","1","CHICKEN VENDOR","824","PIECE","","9",0.1175,"1"
